Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,557.0,173,805
0.0,585.0,173,805
0.0,614.0,173,806
0.0,641.0,174,805
0.0,669.0,173,805
0.0,698.0,172,805
0.0,724.0,173,805
0.0,753.0,173,806
0.0,780.0,173,805
0.0,808.0,173,806
0.0,837.0,173,805
0.0,868.0,173,805
0.0,894.0,173,805
0.0,921.0,175,806
0.0,948.0,173,805
0.0,974.0,173,805
0.0,1001.0,172,805
0.0,1030.0,173,805
0.0,1253.0,173,806
0.0,1316.0,173,805
0.0,1595.0,173,806
0.0,1648.0,173,805
0.0,1912.0,173,806
0.0,1953.0,173,805
-3.0,2289.0,173,805
-3.0,2342.0,175,805
-3.0,2600.0,240,805
-3.0,2631.0,246,805
-3.0,2920.0,299,805
-3.0,2981.0,301,806
-3.0,3268.0,305,805
-3.0,3323.0,287,805
-3.0,3618.0,282,806
-3.0,3661.0,281,805
-3.0,3690.0,281,806
-3.0,3905.0,281,805
-3.0,3934.0,303,805
-3.64,4278.0,310,806
-3.64,4335.0,287,806
-3.64,4364.0,314,805
-3.64,4608.0,297,805
-3.64,4657.0,307,805
-3.64,4937.0,299,805
-3.64,4988.0,307,805
-3.64,5265.0,296,805
-3.64,5308.0,298,806
-3.64,5339.0,284,805
-3.64,5611.0,314,805
-3.64,5658.0,275,805
-3.64,5687.0,301,805
-3.64,5922.0,284,805
-3.64,5974.0,296,805
-3.64,6002.0,294,805
-3.64,6277.0,304,805
-3.64,6340.0,312,805
-3.64,6367.0,291,805
-3.64,6612.0,311,805
-3.64,6678.0,298,805
-3.64,6707.0,282,805
-3.64,6924.0,309,805
-3.64,6952.0,321,805
-3.64,6981.0,312,806
-3.64,7270.0,298,805
-3.64,7321.0,293,804
-3.64,7608.0,306,805
-3.64,7641.0,281,806
-3.64,7950.0,302,805
-3.64,7985.0,305,806
-3.64,8013.0,288,805
-4.23,8275.0,291,805
-4.23,8304.0,292,805
-4.23,8333.0,284,805
-4.23,8620.0,250,805
-4.23,8650.0,259,806
-4.23,8679.0,276,805
-4.23,8929.0,260,805
-4.23,8960.0,264,805
-4.23,8988.0,252,806
-4.23,9246.0,260,805
-4.23,9275.0,260,806
-4.23,9304.0,264,805
-4.23,9582.0,276,806
-4.23,9611.0,258,806
-4.23,9639.0,282,806
-4.23,9934.0,280,808
-4.23,9979.0,297,808
-4.23,10008.0,316,808
-4.8,10283.0,291,813
-4.8,10328.0,298,814
-4.8,10358.0,292,815
-4.8,10612.0,289,817
-4.8,10657.0,290,817
-4.8,10688.0,270,817
-4.8,10932.0,267,819
-4.8,10973.0,229,820
-4.8,11003.0,302,820
-4.8,11290.0,297,823
-4.8,11347.0,296,823
-4.8,11376.0,281,823
-4.8,11407.0,297,823
-4.8,11624.0,301,823
-4.8,11669.0,302,824
-4.8,11700.0,300,823
-4.8,11937.0,309,824
-4.8,11993.0,300,824
-4.8,12255.0,254,824
-4.8,12283.0,241,824
-4.8,12314.0,270,824
-4.8,12345.0,252,824
-4.8,12617.0,259,825
-4.8,12646.0,290,824
-4.8,12677.0,260,825
-4.8,12707.0,282,825
-4.8,12937.0,264,826
-4.8,12967.0,266,826
-4.8,12996.0,300,826
-4.8,13248.0,316,830
-4.8,13279.0,322,829
-4.8,13309.0,301,831
-4.8,13592.0,314,836
-4.8,13643.0,331,835
-4.8,13674.0,330,837
-4.8,13703.0,308,837
-4.8,13979.0,273,838
-4.8,14022.0,289,838
-4.8,14053.0,321,838
-4.8,14084.0,302,838
-4.8,14284.0,323,840
-4.8,14313.0,307,839
-4.8,14344.0,325,840
-4.8,14372.0,266,840
-4.8,14610.0,304,840
-4.8,14673.0,302,840
-4.8,14704.0,312,841
-4.8,14735.0,310,841
-4.8,14919.0,331,843
-4.8,14964.0,291,843
-4.8,14993.0,328,843
-4.8,15024.0,323,843
-4.8,15261.0,327,846
-4.8,15292.0,279,845
-4.8,15321.0,336,846
-4.8,15351.0,292,845
-4.8,15624.0,300,847
-4.8,15669.0,326,846
-4.8,15699.0,321,847
-4.8,15730.0,324,846
-4.8,15964.0,324,847
-4.8,16005.0,335,847
-4.8,16035.0,331,847
-4.8,16064.0,330,847
-4.22,16291.0,331,849
-4.22,16336.0,330,848
-4.22,16367.0,322,849
-4.22,16396.0,331,849
-4.22,16607.0,312,851
-4.22,16637.0,316,851
-4.22,16666.0,308,851
-4.22,16697.0,327,851
-4.22,16953.0,322,851
-4.22,17002.0,324,851
-4.22,17033.0,324,851
-4.22,17303.0,314,851
-4.22,17342.0,320,851
-4.22,17373.0,300,851
-4.22,17401.0,323,852
-4.22,17637.0,331,852
-4.22,17676.0,314,852
-4.22,17707.0,330,852
-4.22,17737.0,321,852
-4.22,17956.0,334,852
-4.22,18001.0,318,853
-4.22,18032.0,337,853
-4.22,18061.0,330,853
-4.22,18274.0,324,853
-4.22,18309.0,313,852
-4.22,18339.0,311,853
-4.22,18368.0,281,854
-4.22,18616.0,330,853
-4.22,18647.0,310,854
-4.22,18675.0,334,854
-4.22,18706.0,288,854
-4.22,18923.0,332,855
-4.22,18952.0,335,854
-4.22,18982.0,345,855
-4.22,19013.0,335,854
-4.22,19283.0,336,857
-4.22,19341.0,366,857
-4.22,19372.0,363,857
-4.22,19402.0,362,856
-4.22,19644.0,346,857
-4.22,19689.0,342,858
-4.22,19718.0,353,858
-4.22,19976.0,350,859
-4.22,20019.0,330,860
-4.22,20049.0,339,859
-4.22,20078.0,335,860
-3.59,20293.0,302,861
-3.59,20324.0,334,860
-3.59,20353.0,327,861
-3.59,20383.0,322,861
-3.59,20609.0,281,861
-3.59,20639.0,332,862
-3.59,20670.0,286,861
-3.59,20701.0,259,862
-3.59,20965.0,284,861
-3.59,21016.0,305,862
-3.59,21047.0,306,862
-3.59,21075.0,277,862
-3.59,21291.0,304,862
-3.59,21327.0,297,862
-3.59,21358.0,299,861
-3.59,21387.0,305,862
-3.59,21635.0,310,862
-3.59,21702.0,296,861
-3.59,21731.0,311,861
-3.59,21762.0,311,862
-3.59,21954.0,311,862
-3.59,22011.0,301,863
-3.59,22042.0,312,862
-3.0,22304.0,311,862
-3.0,22335.0,306,861
-3.0,22366.0,302,862
-3.0,22394.0,313,862
-3.0,22634.0,315,862
-3.0,22665.0,338,862
-3.0,22693.0,326,861
-3.0,22724.0,308,862
-3.0,22974.0,329,862
-3.0,23046.0,335,862
-3.0,23074.0,332,862
-3.0,23103.0,320,862
-3.0,23275.0,332,861
-3.0,23365.0,325,862
-3.0,23394.0,312,861
-3.0,23425.0,333,862
-3.0,23625.0,338,862
-3.0,23676.0,339,862
-3.0,23707.0,333,862
-3.0,23969.0,334,861
-3.0,24000.0,334,861
-3.0,24029.0,312,862
-3.0,24059.0,343,862
-3.0,24299.0,342,862
-3.0,24344.0,345,862
-3.0,24375.0,317,862
-3.0,24633.0,338,861
-3.0,24678.0,339,860
-3.0,24709.0,336,861
-3.0,24739.0,339,861
-3.0,24979.0,326,859
-3.0,25024.0,327,859
-3.0,25055.0,327,859
-3.0,25300.0,336,858
-3.0,25352.0,342,858
-3.0,25382.0,337,858
-3.0,25411.0,333,858
-3.0,25640.0,341,857
-3.0,25696.0,343,856
-3.0,25724.0,341,857
-3.0,25976.0,345,856
-3.0,26017.0,353,855
-3.0,26046.0,355,855
-3.0,26077.0,357,855
-3.0,26267.0,356,853
-3.0,26318.0,356,853
-3.0,26347.0,343,854
-3.0,26378.0,348,854
-3.0,26628.0,330,853
-3.0,26664.0,343,853
-3.0,26693.0,349,853
-3.0,26724.0,343,853
-3.0,26959.0,331,852
-3.0,26990.0,336,853
-3.0,27021.0,353,853
-3.0,27291.0,334,852
-3.0,27324.0,324,852
-3.0,27355.0,312,851
-3.0,27604.0,338,850
-3.0,27635.0,340,850
-3.0,27666.0,343,850
-3.0,27697.0,308,850
-3.0,27955.0,310,848
-3.0,28008.0,360,849
-3.0,28037.0,322,848
-3.0,28067.0,328,849
-3.0,28289.0,341,847
-3.0,28321.0,330,848
-3.0,28350.0,317,847
-3.0,28618.0,332,847
-3.0,28649.0,339,847
-3.0,28678.0,341,847
-3.0,28708.0,342,847
-3.0,28739.0,346,846
-3.0,28977.0,326,846
-3.0,29007.0,343,846
-3.0,29038.0,339,846
-3.0,29069.0,337,846
-3.0,29327.0,341,846
-3.0,29380.0,343,845
-3.0,29411.0,333,844
-3.0,29440.0,337,844
-3.0,29650.0,340,842
-3.0,29691.0,344,843
-3.0,29722.0,340,841
-3.0,29751.0,341,842
-3.0,29782.0,343,841
-3.0,29960.0,346,839
-3.0,30027.0,342,839
-3.0,30058.0,345,839
-3.0,30087.0,354,838
-3.0,30117.0,346,839
-3.0,30294.0,338,838
-3.0,30341.0,363,839
-3.0,30371.0,340,839
-3.0,30402.0,348,839
-3.0,30648.0,349,838
-3.0,30691.0,345,838
-3.0,30722.0,345,838
-3.0,30750.0,344,838
-3.0,30971.0,346,837
-3.0,31025.0,356,836
-3.0,31055.0,348,837
-3.0,31084.0,348,837
-3.0,31625.0,341,835
-3.0,31655.0,333,835
-3.0,31684.0,340,835
-3.0,31715.0,344,835
-3.0,31744.0,345,835
-3.0,31774.0,349,835
-3.0,31805.0,346,833
-3.0,31834.0,342,834
-3.0,31971.0,348,831
-3.0,32018.0,351,831
-3.0,32049.0,345,830
-3.0,32079.0,348,831
-3.0,32110.0,347,831
-3.67,32321.0,362,830
-3.67,32370.0,334,830
-3.67,32399.0,352,830
-3.67,32641.0,358,830
-3.67,32692.0,358,829
-3.67,32722.0,364,830
-3.67,32753.0,365,829
-3.67,32960.0,332,829
-3.67,33013.0,325,829
-3.67,33044.0,354,829
-3.67,33298.0,337,829
-3.67,33341.0,359,829
-3.67,33372.0,360,829
-3.67,33652.0,331,829
-3.67,33699.0,318,829
-3.67,33730.0,324,830
-3.67,33972.0,347,829
-3.67,34025.0,358,830
-3.67,34056.0,301,829
-4.3,34320.0,333,829
-4.3,34375.0,353,829
-4.3,34404.0,330,829
-4.3,34435.0,327,829
-4.3,34629.0,336,829
-4.3,34682.0,370,829
-4.3,34713.0,340,829
-4.3,34744.0,363,829
-4.3,34981.0,369,829
-4.3,35012.0,369,829
-4.3,35041.0,361,828
-4.3,35307.0,330,829
-4.3,35350.0,365,829
-4.3,35381.0,325,829
-4.3,35409.0,340,829
-4.3,35631.0,312,829
-4.3,35688.0,307,828
-4.3,35719.0,311,829
-4.3,35975.0,294,829
-4.3,36014.0,295,829
-4.3,36044.0,350,829
-4.88,36296.0,301,829
-4.88,36345.0,296,829
-4.88,36374.0,293,829
-4.88,36648.0,290,829
-4.88,36677.0,287,829
-4.88,36708.0,292,829
-4.88,36968.0,279,829
-4.88,37025.0,269,828
-4.88,37056.0,279,829
-4.88,37085.0,310,829
-4.88,37115.0,350,830
-4.88,37322.0,304,831
-4.88,37365.0,284,831
-4.88,37394.0,302,832
-4.88,37658.0,301,835
-4.88,37707.0,270,834
-4.88,37736.0,302,835
-4.88,37767.0,297,835
-4.88,37998.0,311,836
-4.88,38045.0,300,837
-4.88,38074.0,311,836
-4.33,38309.0,310,838
-4.33,38350.0,311,838
-4.33,38381.0,336,838
-4.33,38643.0,297,840
-4.33,38696.0,262,839
-4.33,38727.0,268,839
-4.33,38756.0,298,840
-4.33,38985.0,316,841
-4.33,39014.0,307,840
-4.33,39045.0,305,841
-4.33,39307.0,308,843
-4.33,39368.0,308,843
-4.33,39397.0,305,843
-4.33,39682.0,315,844
-4.33,39741.0,312,845
-4.33,39772.0,313,845
-4.33,40024.0,270,845
-4.33,40079.0,264,846
-4.33,40110.0,253,845
-4.33,40327.0,272,846
-4.33,40359.0,263,846
-4.33,40390.0,259,845
-4.33,40685.0,293,846
-4.33,40728.0,296,846
-4.33,40757.0,284,846
-4.33,41025.0,262,846
-4.33,41080.0,304,846
-4.33,41111.0,259,846
-4.33,41336.0,296,846
-4.33,41383.0,298,846
-4.33,41414.0,295,846
-4.33,41687.0,304,846
-4.33,41721.0,292,846
-4.33,41752.0,284,846
-4.33,42094.0,329,847
-4.93,42153.0,319,846
-4.93,42184.0,318,847
-4.93,42434.0,315,847
-4.93,42463.0,325,847
-4.93,42493.0,305,846
-4.93,42745.0,330,847
-4.93,42799.0,328,847
-4.93,42829.0,323,848
-4.93,43100.0,326,851
-4.93,43130.0,329,851
-4.93,43163.0,317,851
-4.93,43438.0,324,853
-4.93,43468.0,316,853
-4.93,43499.0,322,853
-4.93,43794.0,324,855
-4.93,43851.0,314,856
-4.93,43880.0,334,856
-4.93,44111.0,317,859
-4.35,44156.0,321,858
-4.35,44187.0,323,859
-4.35,44455.0,310,863
-4.35,44507.0,263,863
-4.35,44535.0,291,863
-4.35,44789.0,318,864
-4.35,44830.0,311,864
-4.35,44863.0,300,865
-4.35,45127.0,303,866
-4.35,45176.0,324,867
-4.35,45205.0,269,867
-4.35,45459.0,322,868
-4.35,45488.0,327,867
-4.35,45520.0,310,868
-4.35,45793.0,312,869
-4.35,45826.0,314,869
-4.35,45856.0,316,869
-4.35,46106.0,314,870
-4.35,46137.0,331,871
-3.72,46168.0,315,871
-3.72,46456.0,311,873
-3.72,46508.0,312,873
-3.72,46540.0,312,874
-3.72,46794.0,275,874
-3.72,46835.0,305,874
-3.72,46864.0,308,874
-3.72,47120.0,291,875
-3.72,47177.0,309,875
-3.72,47206.0,313,875
-3.72,47450.0,322,876
-3.72,47486.0,316,875
-3.72,47517.0,313,876
-3.72,47804.0,319,878
-3.72,47837.0,320,878
-3.72,47867.0,323,879
-3.72,48121.0,273,880
-3.72,48177.0,281,881
-3.72,48207.0,269,881
-3.72,48451.0,299,882
-3.72,48488.0,281,882
-3.72,48519.0,309,882
-3.72,48791.0,309,884
-3.72,48822.0,314,885
-3.72,48852.0,305,885
-3.72,49096.0,274,886
-3.72,49127.0,299,887
-3.72,49158.0,294,887
-3.72,49412.0,299,887
-3.72,49442.0,295,887
-3.72,49473.0,299,887
-3.72,49764.0,298,887
-3.72,49803.0,287,887
-3.72,49833.0,289,888
-3.72,50122.0,262,887
-4.41,50153.0,260,887
-4.41,50184.0,258,887
-4.41,50438.0,312,888
-4.41,50468.0,313,887
-4.41,50499.0,305,887
-4.41,50806.0,284,891
-4.41,50864.0,279,891
-4.41,50894.0,297,891
-4.41,51142.0,314,892
-4.41,51179.0,289,891
-4.41,51210.0,295,892
-4.41,51474.0,291,893
-4.41,51505.0,328,894
-4.41,51535.0,329,893
-4.41,51793.0,324,894
-4.41,51841.0,338,894
-4.41,51871.0,328,894
-4.41,52133.0,330,894
-5.07,52185.0,358,894
-5.07,52215.0,330,894
-5.07,52455.0,334,894
-5.07,52494.0,327,894
-5.07,52523.0,342,894
-5.07,52807.0,324,894
-5.07,52836.0,329,894
-5.07,52867.0,330,894
-5.07,53121.0,329,897
-5.07,53164.0,324,898
-5.07,53194.0,320,898
-5.07,53458.0,335,900
-5.07,53497.0,334,901
-5.07,53526.0,318,901
-5.07,53798.0,355,903
-5.07,53854.0,351,903
-5.07,53882.0,356,903
-5.07,54145.0,314,905
-4.44,54185.0,319,906
-4.44,54216.0,328,907
-4.44,54446.0,323,909
-4.44,54491.0,315,908
-4.44,54521.0,320,909
-4.44,54779.0,312,912
-4.44,54810.0,309,912
-4.44,54841.0,273,912
-4.44,55134.0,313,916
-4.44,55177.0,324,915
-4.44,55207.0,320,916
-4.44,55455.0,345,917
-4.44,55496.0,347,917
-4.44,55527.0,329,917
-4.44,55797.0,329,916
-4.44,55842.0,343,917
-4.44,55873.0,361,917
-4.44,56139.0,356,917
-5.13,56213.0,364,918
-5.13,56244.0,364,917
-5.13,56461.0,364,917
-5.13,56510.0,367,917
-5.13,56541.0,377,917
-5.13,56795.0,354,917
-5.13,56877.0,362,917
-5.13,56907.0,360,917
-5.13,57133.0,367,917
-5.13,57196.0,366,917
-5.13,57227.0,372,918
-5.13,57460.0,344,918
-5.13,57509.0,371,917
-5.13,57538.0,372,917
-5.13,57810.0,363,919
-5.13,57839.0,354,919
-5.13,57870.0,379,920
-5.13,58122.0,386,921
-5.13,58155.0,387,921
-5.13,58185.0,374,921
-5.13,58449.0,375,922
-5.13,58488.0,362,922
-5.13,58517.0,343,923
-5.13,58787.0,369,924
-5.13,58832.0,365,924
-5.13,58863.0,340,924
-5.13,59140.0,386,926
-5.13,59185.0,386,925
-5.13,59215.0,376,926
-5.13,59463.0,389,928
-5.13,59516.0,387,927
-5.13,59547.0,389,928
-5.13,59795.0,377,930
-5.13,59848.0,376,930
-5.13,59877.0,375,930
-5.13,60123.0,381,933
-4.47,60178.0,382,932
-4.47,60207.0,386,933
-4.47,60481.0,387,933
-4.47,60530.0,393,935
-4.47,60559.0,385,934
-4.47,60796.0,396,935
-4.47,60839.0,385,935
-4.47,60870.0,389,935
-4.47,61138.0,393,938
-4.47,61192.0,391,937
-4.47,61222.0,395,938
-4.47,61458.0,393,941
-4.47,61495.0,391,941
-4.47,61526.0,393,941
-4.47,61804.0,379,944
-4.47,61851.0,387,944
-4.47,61880.0,388,944
-4.47,62128.0,400,945
-3.75,62183.0,406,945
-3.75,62212.0,395,946
-3.75,62429.0,394,945
-3.75,62459.0,394,945
-3.75,62490.0,398,946
-3.75,62808.0,394,945
-3.75,62853.0,398,945
-3.75,62883.0,397,946
-3.75,63135.0,378,946
-3.75,63193.0,369,946
-3.75,63223.0,386,946
-3.75,63479.0,390,946
-3.75,63533.0,386,946
-3.75,63563.0,352,945
-3.75,63803.0,345,946
-3.75,63848.0,342,946
-3.75,63881.0,372,946
-3.75,64143.0,387,946
-4.52,64186.0,381,946
-4.52,64215.0,386,946
-4.52,64458.0,378,945
-4.52,64487.0,395,946
-4.52,64518.0,389,946
-4.52,64792.0,383,945
-4.52,64851.0,377,945
-4.52,64882.0,387,946
-4.52,65118.0,384,946
-4.52,65159.0,374,946
-4.52,65187.0,383,945
-4.52,65482.0,382,946
-4.52,65529.0,379,946
-4.52,65560.0,354,946
-4.52,65812.0,364,947
-4.52,65875.0,362,947
-4.52,65906.0,360,947
-4.52,66156.0,384,947
-4.52,66205.0,387,947
-4.52,66236.0,380,948
-4.52,66480.0,390,948
-4.52,66527.0,392,947
-4.52,66557.0,392,948
-4.52,66822.0,393,948
-4.52,66852.0,399,948
-4.52,66883.0,394,948
-4.52,67133.0,386,947
-4.52,67166.0,387,948
-4.52,67194.0,362,948
-4.52,67471.0,377,947
-4.52,67520.0,373,948
-4.52,67549.0,380,948
-4.52,67807.0,389,947
-4.52,67870.0,406,948
-4.52,67901.0,409,948
-4.52,68151.0,379,948
-4.52,68186.0,403,948
-4.52,68216.0,393,947
-4.52,68491.0,387,948
-4.52,68550.0,397,947
-4.52,68581.0,400,947
-4.52,68790.0,406,947
-4.52,68857.0,400,948
-4.52,68890.0,399,948
-4.52,69163.0,399,948
-4.52,69220.0,413,948
-4.52,69249.0,391,948
-4.52,69453.0,417,947
-4.52,69509.0,416,948
-4.52,69539.0,412,947
-4.52,69799.0,395,948
-4.52,69840.0,400,947
-4.52,69869.0,416,948
-4.52,70135.0,385,947
-5.24,70184.0,393,948
-5.24,70215.0,395,948
-5.24,70488.0,397,947
-5.24,70533.0,395,947
-5.24,70563.0,401,947
-5.24,70815.0,380,948
-5.24,70862.0,365,947
-5.24,70893.0,368,947
-5.24,71149.0,380,948
-5.24,71184.0,379,948
-5.24,71215.0,378,947
-5.24,71471.0,381,948
-5.24,71530.0,375,946
-5.24,71561.0,360,948
-5.24,71817.0,356,947
-5.24,71847.0,368,947
-5.24,71876.0,360,947
-5.24,72142.0,369,948
-4.57,72187.0,380,947
-4.57,72220.0,381,948
-4.57,72470.0,354,948
-4.57,72507.0,366,948
-4.57,72538.0,344,947
-4.57,72822.0,379,948
-4.57,72865.0,372,947
-4.57,72898.0,371,947
-4.57,73152.0,352,947
-4.57,73207.0,351,947
-4.57,73238.0,353,948
-4.57,73494.0,358,947
-4.57,73537.0,362,947
-4.57,73566.0,358,947
-4.57,73820.0,362,950
-4.57,73867.0,362,951
-4.57,73897.0,365,950
-4.57,74170.0,373,955
-5.29,74225.0,384,955
-5.29,74254.0,383,955
-5.29,74473.0,384,954
-5.29,74534.0,386,955
-5.29,74565.0,384,956
-5.29,74817.0,393,955
-5.29,74862.0,390,955
-5.29,74893.0,391,955
-5.29,75132.0,392,955
-5.29,75208.0,394,955
-5.29,75239.0,395,955
-5.29,75474.0,372,955
-5.29,75528.0,370,956
-5.29,75558.0,370,956
-5.29,75831.0,373,957
-5.29,75866.0,367,957
-5.29,75898.0,375,957
-5.29,76142.0,363,957
-5.98,76185.0,363,957
-5.98,76216.0,364,957
-5.98,76484.0,360,961
-5.98,76529.0,357,963
-5.98,76560.0,356,963
-5.98,76843.0,356,967
-5.98,76894.0,357,969
-5.98,76924.0,361,970
-5.98,77170.0,365,975
-5.98,77228.0,375,976
-5.98,77258.0,381,977
-5.98,77479.0,334,981
-5.98,77535.0,334,982
-5.98,77565.0,345,983
-5.98,77826.0,343,990
-5.98,77889.0,344,991
-5.98,77920.0,344,991
-5.98,78149.0,376,995
-5.29,78192.0,379,995
-5.29,78223.0,370,995
-5.29,78497.0,385,996
-5.29,78526.0,388,996
-5.29,78557.0,386,997
-5.29,78831.0,389,996
-5.29,78876.0,393,997
-5.29,78905.0,394,997
-5.29,79173.0,397,997
-5.29,79202.0,395,997
-5.29,79235.0,398,997
-5.29,79484.0,398,998
-5.29,79515.0,401,997
-5.29,79546.0,398,998
-5.29,79818.0,397,998
-5.29,79880.0,397,997
-5.29,79908.0,398,997
-5.29,80156.0,403,997
-6.02,80218.0,392,998
-6.02,80248.0,409,998
-6.02,80490.0,402,999
-6.02,80545.0,409,999
-6.02,80576.0,408,999
-6.02,80828.0,406,999
-6.02,80865.0,403,998
-6.02,80896.0,398,999
-6.02,81156.0,421,999
-6.02,81203.0,419,999
-6.02,81231.0,421,999
-6.02,81473.0,435,999
-6.02,81551.0,424,1000
-6.02,81580.0,436,999
-6.02,81854.0,427,999
-6.02,81909.0,414,999
-6.02,81940.0,415,999
-6.02,82180.0,425,999
-6.02,82247.0,422,999
-6.02,82276.0,417,999
-6.02,82491.0,418,999
-6.02,82540.0,419,999
-6.02,82571.0,415,999
-6.02,82831.0,420,1000
-6.02,82874.0,423,999
-6.02,82905.0,424,999
-6.02,83148.0,426,999
-6.02,83185.0,425,999
-6.02,83216.0,423,999
