Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
-12.0,559.0,0,808
-12.0,585.0,0,808
-12.0,612.0,7,808
-12.0,638.0,0,808
-12.0,667.0,0,809
-12.0,696.0,1,809
-12.0,722.0,1,808
-12.0,749.0,1,809
-12.0,778.0,0,808
-12.0,804.0,0,808
-12.0,833.0,2,809
-12.0,860.0,0,808
-12.0,886.0,0,808
-12.0,913.0,0,809
-12.0,940.0,0,808
-12.0,968.0,0,808
-12.0,1191.0,1,809
-12.0,1220.0,0,808
-12.0,1536.0,0,808
-12.0,1564.0,0,808
0.0,1863.0,0,808
0.0,1888.0,0,808
0.0,2203.0,1,809
0.0,2230.0,0,808
0.0,2525.0,0,808
0.0,2549.0,1,808
0.0,2865.0,0,808
0.0,2891.0,0,809
-12.0,3196.0,1,808
-12.0,3227.0,3,809
-12.0,3528.0,0,796
-12.0,3557.0,1,794
-12.0,3860.0,268,750
-12.0,3889.0,265,745
-12.0,4202.0,276,725
-12.0,4231.0,278,724
-12.0,4530.0,279,716
-12.0,4560.0,290,715
0.0,4872.0,185,704
0.0,4900.0,218,703
0.0,4929.0,226,702
0.0,5201.0,257,695
0.0,5230.0,265,694
0.0,5259.0,264,694
0.0,5564.0,268,694
0.0,5593.0,268,694
0.0,5621.0,269,694
0.0,5857.0,271,693
0.0,5885.0,270,694
0.0,5914.0,272,693
-12.0,6205.0,281,693
-12.0,6234.0,285,693
-12.0,6264.0,302,693
-12.0,6529.0,327,695
-12.0,6559.0,320,695
-12.0,6590.0,318,695
-12.0,6868.0,330,697
-12.0,6899.0,287,697
-12.0,7196.0,278,691
-12.0,7227.0,283,690
-12.0,7258.0,270,689
-12.0,7553.0,264,676
-12.0,7583.0,297,675
-12.0,7616.0,290,673
0.0,7866.0,229,662
0.0,7895.0,239,661
0.0,7921.0,248,659
0.0,8204.0,304,653
0.0,8232.0,299,652
0.0,8261.0,292,652
0.0,8536.0,303,651
0.0,8562.0,304,651
0.0,8591.0,302,651
0.0,8865.0,301,651
0.0,8894.0,301,651
0.0,8923.0,302,651
-12.0,9205.0,306,651
-12.0,9236.0,303,652
-12.0,9271.0,300,651
-12.0,9539.0,361,652
-12.0,9572.0,357,653
-12.0,9603.0,360,653
-12.0,9875.0,354,657
-12.0,9906.0,337,657
-12.0,9936.0,345,657
-12.0,10211.0,325,656
-12.0,10244.0,334,656
-12.0,10276.0,338,655
-12.0,10534.0,367,645
-12.0,10567.0,363,643
-12.0,10600.0,353,642
0.0,10874.0,289,630
0.0,10905.0,307,628
0.0,10934.0,318,627
0.0,11208.0,326,619
0.0,11239.0,327,619
0.0,11268.0,327,618
0.0,11532.0,321,617
0.0,11563.0,329,617
0.0,11591.0,330,617
0.0,11870.0,328,617
