Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,552.0,0,779
0.0,581.0,0,780
0.0,606.0,0,779
0.0,632.0,0,779
0.0,659.0,1,779
0.0,686.0,0,779
0.0,712.0,0,779
0.0,739.0,0,779
0.0,765.0,0,779
0.0,792.0,0,780
0.0,817.0,0,779
0.0,843.0,0,779
0.0,868.0,0,779
0.0,894.0,0,780
0.0,921.0,0,779
0.0,946.0,0,779
0.0,1216.0,0,780
0.0,1243.0,0,779
0.0,1574.0,0,779
0.0,1603.0,0,779
0.0,1918.0,0,779
0.0,1945.0,0,780
-3.0,2246.0,0,779
-3.0,2275.0,2,779
-3.0,2582.0,0,779
-3.0,2611.0,0,779
-3.0,2904.0,0,779
-3.0,2930.0,0,779
-3.0,3244.0,0,779
-3.0,3272.0,0,779
-3.0,3586.0,0,780
-3.0,3614.0,0,779
-3.0,3913.0,0,780
-3.0,3940.0,0,779
-3.51,4245.0,0,780
-3.51,4274.0,0,779
-3.51,4583.0,0,780
-3.51,4610.0,0,779
-3.51,4917.0,0,781
-3.51,4943.0,0,782
-3.51,5253.0,0,787
-3.51,5281.0,1,788
-3.51,5582.0,0,797
-3.51,5611.0,0,798
-3.51,5912.0,0,809
-3.51,5941.0,0,809
-3.96,6252.0,0,803
-3.96,6279.0,0,802
-3.96,6592.0,0,791
-3.96,6621.0,23,790
-3.96,6971.0,457,762
-3.96,7002.0,455,760
-3.96,7274.0,472,758
-3.96,7305.0,463,757
-3.96,7587.0,496,758
-3.96,7618.0,511,757
-3.96,7921.0,434,758
-3.96,7950.0,461,758
-3.65,8249.0,457,759
-3.65,8278.0,483,758
-3.65,8591.0,496,759
-3.65,8622.0,501,759
-3.65,8919.0,514,758
-3.65,8947.0,455,759
-3.65,9250.0,469,759
-3.65,9279.0,489,759
-3.65,9592.0,481,758
-3.65,9621.0,459,758
-3.65,9930.0,452,759
-3.65,9959.0,434,760
-3.27,10256.0,444,761
-3.27,10287.0,428,761
-3.27,10586.0,457,761
-3.27,10616.0,467,760
-3.27,10928.0,461,761
-3.27,10958.0,465,761
-3.27,11255.0,450,761
-3.27,11286.0,450,761
-3.27,11599.0,467,761
-3.27,11630.0,471,761
-3.27,11929.0,473,761
-3.27,11958.0,479,762
-3.0,12267.0,459,761
-3.0,12296.0,473,761
-3.0,12591.0,454,762
-3.0,12619.0,459,763
-3.0,12920.0,444,765
-3.0,12951.0,445,765
-3.0,13250.0,421,765
-3.0,13281.0,439,765
-3.0,13594.0,449,765
-3.0,13625.0,434,765
-3.0,13920.0,425,767
-3.0,13950.0,433,768
-3.0,14264.0,420,772
-3.0,14292.0,419,771
-3.0,14589.0,439,772
-3.0,14622.0,443,772
-3.0,14934.0,445,774
-3.0,14962.0,454,775
-3.0,15259.0,430,778
-3.0,15290.0,413,777
-3.0,15632.0,454,780
-3.0,15663.0,437,780
-3.0,15943.0,467,785
-3.0,15972.0,459,785
-3.51,16291.0,467,789
-3.51,16322.0,375,789
-3.51,16355.0,388,790
-3.51,16621.0,442,791
-3.51,16652.0,460,791
-3.51,16683.0,454,791
-3.51,16959.0,440,791
-3.51,16990.0,465,791
-3.51,17291.0,456,794
-3.51,17319.0,446,795
-3.51,17352.0,423,795
-3.51,17631.0,447,797
-3.51,17664.0,439,798
-3.51,17694.0,442,798
-3.51,17963.0,358,798
-3.51,17993.0,386,799
-3.51,18024.0,438,799
-3.96,18288.0,447,799
-3.96,18319.0,449,799
-3.96,18350.0,449,800
-3.96,18626.0,446,803
-3.96,18659.0,450,803
-3.96,18690.0,442,803
-3.96,18964.0,464,803
-3.96,18997.0,454,803
-3.96,19027.0,408,803
-3.96,19298.0,447,805
-3.96,19329.0,435,805
-3.96,19359.0,436,806
-3.96,19636.0,448,808
-3.96,19668.0,425,808
-3.96,19699.0,414,808
-3.96,19968.0,452,809
-3.96,20000.0,448,809
-3.96,20029.0,446,809
-4.34,20295.0,430,809
-4.34,20326.0,444,810
-4.34,20357.0,451,810
-4.34,20631.0,439,809
-4.34,20660.0,446,810
-4.34,20690.0,452,810
-4.34,20946.0,424,810
-4.34,20977.0,461,809
-4.34,21008.0,463,809
-4.34,21293.0,444,810
-4.34,21323.0,452,809
-4.34,21354.0,463,809
-4.34,21643.0,419,810
-4.34,21673.0,453,809
-4.34,21704.0,453,810
-4.34,21966.0,436,811
-4.34,21995.0,460,810
-4.34,22026.0,456,810
-4.02,22302.0,449,810
-4.02,22333.0,441,811
-4.02,22362.0,451,810
-4.02,22634.0,476,811
-4.02,22663.0,481,810
-4.02,22693.0,487,810
-4.02,22976.0,457,810
-4.02,23005.0,458,810
-4.02,23035.0,467,809
-4.02,23283.0,460,811
-4.02,23312.0,468,810
-4.02,23343.0,432,811
-4.02,23629.0,450,810
-4.02,23660.0,466,811
-4.02,23689.0,463,810
-4.02,23959.0,477,810
-4.02,23990.0,463,810
-4.02,24018.0,485,811
-4.4,24301.0,461,810
-4.4,24330.0,476,810
-4.4,24360.0,434,810
-4.4,24643.0,461,810
-4.4,24674.0,436,810
-4.4,24702.0,445,810
-4.4,24973.0,328,810
-4.4,25004.0,460,810
-4.4,25034.0,497,810
-4.4,25298.0,483,810
-4.4,25327.0,446,810
-4.4,25358.0,403,810
-4.4,25649.0,499,810
-4.4,25679.0,489,810
-4.4,25708.0,451,810
-4.4,25966.0,456,810
-4.4,25997.0,465,811
-4.4,26028.0,481,811
-4.71,26298.0,462,810
-4.71,26329.0,463,810
-4.71,26357.0,446,810
-4.71,26638.0,481,811
-4.71,26669.0,397,810
-4.71,26697.0,434,811
-4.71,26966.0,478,810
-4.71,26994.0,478,811
-4.71,27025.0,474,811
-4.71,27308.0,476,811
-4.71,27336.0,483,810
-4.71,27367.0,486,810
-4.71,27635.0,479,811
-4.71,27664.0,485,811
-4.71,27697.0,485,810
-4.71,27977.0,486,811
-4.71,28008.0,495,810
-4.71,28039.0,519,811
-4.97,28291.0,509,811
-4.97,28321.0,491,811
-4.97,28352.0,475,810
-4.97,28635.0,530,809
-4.97,28667.0,551,808
-4.97,28698.0,557,806
-4.97,28958.0,508,803
-4.97,28989.0,506,801
-4.97,29020.0,483,801
-4.97,29302.0,508,800
-4.97,29331.0,514,799
-4.97,29362.0,519,800
-4.97,29628.0,522,799
-4.97,29659.0,517,799
-4.97,29687.0,526,800
-4.97,29972.0,520,799
