Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,557.0,0,771
0.0,583.0,0,770
0.0,608.0,0,771
0.0,632.0,0,771
0.0,657.0,0,771
0.0,684.0,0,771
0.0,710.0,0,771
0.0,735.0,0,771
0.0,761.0,0,771
0.0,784.0,0,771
0.0,808.0,0,771
0.0,833.0,0,771
0.0,858.0,0,771
0.0,882.0,0,771
0.0,907.0,0,770
0.0,933.0,1,771
0.0,958.0,0,770
0.0,983.0,0,771
0.0,1007.0,0,771
0.0,1034.0,0,771
0.0,1058.0,0,771
0.0,1083.0,0,771
0.0,1107.0,0,770
0.0,1134.0,0,771
0.0,1161.0,0,771
0.0,1185.0,1,771
0.0,1212.0,0,770
0.0,1236.0,0,771
0.0,1263.0,0,771
0.0,1288.0,0,770
0.0,1323.0,0,771
0.0,1349.0,0,771
0.0,1374.0,0,771
0.0,1572.0,0,771
0.0,1599.0,0,771
0.0,1624.0,0,771
0.0,1650.0,0,771
0.0,1906.0,0,771
0.0,1964.0,0,771
0.0,1990.0,1,771
0.0,2019.0,1,771
-3.0,2226.0,0,771
-3.0,2273.0,0,771
-3.0,2301.0,0,771
-3.0,2328.0,3,771
-3.0,2555.0,205,771
-3.0,2590.0,205,771
-3.0,2619.0,197,771
-3.0,2648.0,222,771
-3.0,2895.0,220,771
-3.0,2932.0,220,771
-3.0,2961.0,237,771
-3.0,2990.0,222,771
-3.0,3287.0,205,769
-3.0,3340.0,119,769
-3.0,3368.0,246,768
-3.0,3555.0,187,765
-3.0,3608.0,230,763
-3.0,3637.0,113,763
-3.0,3901.0,243,761
-3.0,3960.0,243,761
-3.0,3989.0,255,761
-3.0,4237.0,158,760
-3.0,4319.0,187,761
-3.0,4349.0,209,761
-3.0,4577.0,176,760
-3.0,4634.0,237,760
-3.0,4665.0,198,761
-3.0,4925.0,192,760
-3.0,4995.0,195,761
-3.0,5025.0,192,760
-3.0,5236.0,199,760
-3.0,5287.0,167,761
-3.0,5318.0,192,761
-3.0,5582.0,155,760
-3.0,5634.0,156,760
-3.0,5662.0,159,761
-3.0,5902.0,167,760
-3.0,5953.0,150,760
-3.0,5984.0,160,761
-3.0,6236.0,152,760
-3.0,6277.0,180,760
-3.0,6307.0,162,760
-3.0,6596.0,230,761
-3.0,6627.0,176,760
-3.0,6656.0,231,761
-3.0,6926.0,186,761
-3.0,6957.0,185,761
-3.0,6987.0,182,761
-3.0,7280.0,173,768
-3.0,7309.0,179,769
-3.0,7340.0,173,770
-3.0,7585.0,215,775
-3.0,7616.0,201,775
-3.0,7647.0,224,775
-3.0,7909.0,213,779
-3.0,7940.0,204,780
-3.0,7970.0,196,780
-3.51,8239.0,190,782
-3.51,8267.0,138,783
-3.51,8298.0,143,783
-3.51,8572.0,202,786
-3.51,8601.0,194,786
-3.51,8632.0,111,786
-3.51,8912.0,150,790
-3.51,8941.0,158,790
-3.51,8972.0,199,790
-3.51,9254.0,200,793
-3.51,9283.0,158,793
-3.51,9312.0,208,793
-3.51,9340.0,196,793
-3.51,9576.0,223,795
-3.51,9605.0,187,794
-3.51,9633.0,218,795
-3.51,9924.0,117,797
-3.51,9953.0,209,797
-3.51,9986.0,211,797
-3.51,10252.0,211,798
-3.51,10283.0,169,798
-3.51,10315.0,159,798
-3.51,10579.0,197,798
-3.51,10610.0,155,799
-3.51,10641.0,165,799
-3.51,10674.0,155,799
-3.51,10911.0,152,799
-3.51,10942.0,153,799
-3.51,10973.0,157,799
-3.51,11005.0,144,798
-3.51,11251.0,137,799
-3.51,11282.0,178,799
-3.51,11313.0,148,799
-3.51,11343.0,151,799
-3.51,11593.0,171,799
-3.51,11624.0,197,798
-3.51,11657.0,227,799
-3.51,11921.0,312,801
-3.51,11950.0,318,801
-3.51,11980.0,318,801
-3.51,12009.0,276,802
-3.02,12249.0,105,803
-3.02,12279.0,141,802
-3.02,12310.0,140,803
-3.02,12574.0,146,803
-3.02,12605.0,99,803
-3.02,12636.0,131,802
-3.02,12918.0,152,803
-3.02,12951.0,136,803
-3.02,12982.0,123,802
-3.02,13246.0,111,803
-3.02,13277.0,135,803
-3.02,13307.0,107,803
-3.02,13588.0,49,803
-3.02,13619.0,162,803
-3.02,13649.0,127,802
-3.02,13916.0,106,803
-3.02,13944.0,96,802
-3.02,13975.0,61,803
-3.02,14262.0,113,802
-3.02,14290.0,39,803
-3.02,14319.0,1,803
-3.02,14350.0,60,803
-3.02,14585.0,96,803
-3.02,14612.0,0,803
-3.02,14643.0,0,803
-3.02,14671.0,0,802
-3.02,14931.0,0,802
-3.02,14958.0,0,803
-3.02,14987.0,0,803
-3.02,15015.0,0,802
-3.02,15046.0,10,802
-3.02,15245.0,41,802
-3.02,15273.0,0,802
-3.02,15302.0,0,802
-3.02,15331.0,3,802
-3.02,15360.0,37,801
-3.02,15585.0,13,800
-3.02,15613.0,0,800
-3.02,15640.0,0,800
-3.02,15669.0,0,800
-3.02,15695.0,0,799
-3.02,15927.0,0,799
-3.02,15955.0,0,800
-3.02,15982.0,0,799
-3.02,16009.0,0,798
-3.02,16037.0,0,799
-3.55,16265.0,0,796
-3.55,16316.0,0,796
-3.55,16345.0,0,796
-3.55,16371.0,0,796
-3.55,16609.0,0,794
-3.55,16637.0,0,794
-3.55,16666.0,0,794
-3.55,16695.0,0,793
-3.55,16723.0,0,792
-3.55,16924.0,18,790
-3.55,16955.0,0,789
-3.55,16982.0,0,789
-3.55,17012.0,0,789
-3.55,17256.0,1,788
-3.55,17285.0,0,787
-3.55,17311.0,0,787
-3.55,17340.0,0,787
-3.55,17580.0,2,786
-3.55,17606.0,0,785
-3.55,17635.0,0,785
-3.55,17668.0,0,785
-3.55,17924.0,0,785
-3.55,17952.0,14,785
-3.55,17981.0,0,784
-3.55,18012.0,36,784
-3.55,18040.0,39,784
-4.01,18251.0,47,783
-4.01,18280.0,29,783
-4.01,18311.0,30,783
-4.01,18339.0,29,783
-4.01,18366.0,0,783
-4.01,18604.0,1,783
-4.01,18638.0,0,783
-4.01,18667.0,0,782
-4.01,18696.0,101,783
-4.01,18724.0,0,782
-4.01,18933.0,0,782
-4.01,18960.0,0,783
-4.01,18989.0,0,783
-4.01,19017.0,21,783
-4.01,19265.0,68,782
-4.01,19310.0,51,782
-4.01,19339.0,66,782
-4.01,19367.0,0,783
-4.01,19599.0,34,783
