Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,559.0,253,743
0.0,587.0,252,743
0.0,614.0,252,743
0.0,643.0,252,744
0.0,669.0,252,743
0.0,698.0,253,743
0.0,724.0,250,743
0.0,749.0,249,743
0.0,778.0,249,744
0.0,804.0,248,744
0.0,831.0,250,744
0.0,858.0,249,744
0.0,886.0,249,743
0.0,913.0,249,743
0.0,940.0,249,744
0.0,966.0,251,743
0.0,995.0,249,743
0.0,1021.0,251,744
0.0,1048.0,250,743
0.0,1077.0,250,743
0.0,1105.0,250,743
0.0,1132.0,250,743
0.0,1161.0,251,744
0.0,1282.0,250,743
0.0,1310.0,247,744
0.0,1339.0,245,743
0.0,1626.0,239,743
0.0,1654.0,237,744
0.0,1681.0,236,743
0.0,1968.0,237,744
0.0,1994.0,237,744
0.0,2023.0,236,743
-3.0,2308.0,179,743
-3.0,2336.0,182,743
-3.0,2365.0,187,743
-3.0,2639.0,292,743
-3.0,2666.0,315,743
-3.0,2697.0,341,743
-3.0,2979.0,379,743
-3.0,3010.0,399,743
-3.0,3039.0,399,744
-3.0,3067.0,398,743
-3.0,3303.0,399,743
-3.0,3332.0,400,743
-3.0,3358.0,403,743
-3.0,3637.0,322,743
-3.0,3667.0,326,744
-3.0,3696.0,339,744
-3.0,3725.0,363,744
-3.0,3977.0,294,743
-3.0,4005.0,295,743
-3.0,4036.0,293,743
-3.0,4065.0,284,743
-3.0,4313.0,347,743
-3.0,4341.0,303,743
-3.0,4372.0,324,743
-3.0,4663.0,287,743
-3.0,4694.0,272,743
-3.0,4722.0,232,743
-3.0,4974.0,235,743
-3.0,5005.0,270,744
-3.0,5033.0,241,743
-3.0,5316.0,253,743
-3.0,5347.0,280,743
-3.0,5376.0,281,743
-3.0,5785.0,331,743
-3.0,5814.0,275,742
-3.0,5842.0,241,742
-3.28,6129.0,346,741
-3.28,6158.0,262,741
-3.28,6187.0,354,742
-3.28,6215.0,363,742
-3.28,6453.0,372,742
-3.28,6481.0,339,741
-3.28,6510.0,367,741
-3.28,6539.0,369,741
-3.28,6780.0,0,741
-3.28,6809.0,369,741
-3.28,6838.0,374,741
-3.28,7114.0,365,740
-3.28,7145.0,366,741
-3.28,7174.0,371,741
-3.28,7454.0,390,740
-3.28,7483.0,399,741
-3.28,7512.0,386,741
-3.28,7786.0,383,741
-3.28,7815.0,382,741
-3.28,7843.0,310,740
-3.28,8108.0,347,740
-3.54,8138.0,286,741
-3.54,8165.0,0,741
-3.54,8454.0,367,741
-3.54,8480.0,0,740
-3.54,8509.0,378,740
-3.54,8538.0,347,740
-3.54,8777.0,270,740
-3.54,8806.0,326,740
-3.54,8835.0,382,740
-3.54,9127.0,391,739
-3.54,9156.0,384,739
-3.54,9187.0,385,739
-3.54,9449.0,383,739
-3.54,9480.0,399,740
-3.54,9508.0,392,739
-3.54,9535.0,0,739
-3.54,9785.0,402,739
-3.54,9814.0,397,739
-3.54,9842.0,373,739
-3.54,9871.0,377,740
-3.78,10121.0,433,739
-3.78,10151.0,406,740
-3.78,10184.0,426,739
-3.78,10215.0,432,739
-3.78,10469.0,425,739
-3.78,10500.0,431,739
-3.78,10528.0,392,739
-3.78,10559.0,406,739
-3.78,10795.0,435,739
-3.78,10825.0,422,739
-3.78,10856.0,355,739
-3.78,10885.0,384,740
-3.78,11118.0,439,739
-3.78,11147.0,438,739
-3.78,11177.0,438,739
-3.78,11208.0,445,739
-3.78,11462.0,446,738
-3.78,11491.0,449,739
-3.78,11522.0,439,739
-3.78,11552.0,446,739
-3.78,11792.0,390,739
-3.78,11823.0,366,739
-3.78,11853.0,346,738
-3.78,11884.0,368,739
-3.78,11913.0,361,739
-4.01,12136.0,409,735
-4.01,12167.0,424,735
-4.01,12197.0,400,735
-4.01,12228.0,409,735
-4.01,12257.0,416,734
-4.01,12460.0,420,734
-4.01,12490.0,416,733
-4.01,12521.0,419,734
-4.01,12550.0,417,733
-4.01,12580.0,417,734
-4.01,12787.0,418,734
-4.01,12816.0,420,734
-4.01,12847.0,411,734
-4.01,12875.0,411,734
-4.01,12906.0,419,734
-4.01,13135.0,426,733
-4.01,13166.0,441,734
-4.01,13197.0,428,734
-4.01,13225.0,439,734
-4.01,13256.0,430,733
-4.01,13490.0,444,733
-4.01,13518.0,444,733
-4.01,13549.0,439,734
-4.01,13578.0,442,733
-4.01,13608.0,438,733
-4.01,13819.0,436,734
-4.01,13850.0,420,733
-4.01,13881.0,413,733
-4.01,13910.0,430,733
-4.01,13940.0,415,734
-4.21,14159.0,440,733
-4.21,14190.0,422,734
-4.21,14221.0,425,733
-4.21,14249.0,421,734
-4.21,14278.0,424,733
-4.21,14491.0,430,733
-4.21,14524.0,429,733
-4.21,14555.0,429,733
-4.21,14585.0,426,734
-4.21,14618.0,396,734
-4.21,14831.0,411,733
-4.21,14862.0,428,733
-4.21,14893.0,429,733
-4.21,14923.0,429,733
-4.21,14954.0,421,734
-4.21,15157.0,416,733
-4.21,15187.0,415,733
-4.21,15216.0,429,733
-4.21,15247.0,415,733
-4.21,15278.0,431,733
-4.21,15501.0,437,731
-4.21,15532.0,436,731
-4.21,15562.0,434,731
-4.21,15591.0,434,731
-4.21,15622.0,446,730
-4.21,15826.0,429,729
-4.21,15857.0,431,728
-4.21,15888.0,431,728
-4.21,15917.0,432,728
-4.21,15947.0,431,728
-4.03,16154.0,355,727
-4.03,16185.0,390,727
-4.03,16214.0,400,727
-4.03,16244.0,397,727
-4.03,16275.0,374,726
-4.03,16496.0,403,723
-4.03,16525.0,393,723
-4.03,16556.0,368,723
-4.03,16584.0,374,722
-4.03,16615.0,394,722
-4.03,16826.0,410,718
-4.03,16857.0,380,717
-4.03,16885.0,378,717
-4.03,16916.0,416,716
-4.03,16949.0,363,715
-4.03,17168.0,408,711
-4.03,17199.0,405,711
-4.03,17227.0,394,711
-4.03,17258.0,398,711
-4.03,17289.0,403,710
-4.03,17496.0,404,709
-4.03,17524.0,402,708
-4.03,17555.0,403,709
-4.03,17584.0,400,709
-4.03,17614.0,402,708
-4.03,17836.0,401,709
-4.03,17864.0,396,709
-4.03,17895.0,403,709
-4.03,17924.0,408,709
-4.03,17954.0,410,708
-4.21,18167.0,403,707
-4.21,18198.0,406,707
-4.21,18227.0,420,707
-4.21,18257.0,399,707
-4.21,18286.0,408,707
-4.21,18503.0,407,706
-4.21,18534.0,415,705
-4.21,18563.0,411,705
-4.21,18593.0,406,706
-4.21,18624.0,403,706
-4.21,18837.0,389,705
-4.21,18868.0,378,705
-4.21,18896.0,343,704
-4.21,18927.0,387,704
-4.21,18956.0,380,703
-4.21,19173.0,366,702
-4.21,19202.0,365,702
-4.21,19232.0,334,701
-4.21,19263.0,386,701
-4.21,19292.0,387,701
-4.21,19496.0,394,697
-4.21,19527.0,345,697
-4.21,19556.0,391,697
-4.21,19587.0,402,696
-4.21,19617.0,392,696
-4.21,19834.0,327,694
-4.21,19865.0,373,693
-4.21,19896.0,361,694
-4.21,19924.0,302,693
-4.21,19953.0,352,693
-4.36,20164.0,361,693
-4.36,20195.0,350,693
-4.36,20226.0,361,693
-4.36,20256.0,357,693
-4.36,20289.0,362,692
-4.36,20506.0,400,691
-4.36,20539.0,401,691
-4.36,20570.0,395,690
-4.36,20602.0,402,691
-4.36,20633.0,401,691
-4.36,20834.0,391,689
-4.36,20865.0,360,689
-4.36,20895.0,360,689
-4.36,20926.0,413,689
-4.36,20959.0,409,689
-4.36,21159.0,398,688
-4.36,21192.0,397,689
-4.36,21225.0,400,689
-4.36,21256.0,403,689
-4.36,21286.0,401,689
-4.36,21504.0,380,689
-4.36,21536.0,397,689
-4.36,21567.0,399,689
-4.36,21598.0,396,688
-4.36,21630.0,398,688
-4.36,21852.0,405,688
-4.36,21882.0,404,689
-4.36,21913.0,406,688
-4.36,21944.0,388,689
-4.36,21977.0,400,688
-4.5,22177.0,402,688
-4.5,22208.0,406,688
-4.5,22241.0,403,689
-4.5,22274.0,401,688
-4.5,22304.0,402,689
-4.5,22505.0,406,689
-4.5,22536.0,409,688
-4.5,22566.0,400,688
-4.5,22599.0,401,689
-4.5,22630.0,401,688
-4.5,22841.0,406,689
-4.5,22872.0,394,688
-4.5,22904.0,404,688
-4.5,22935.0,404,688
-4.5,22966.0,401,689
-4.5,23175.0,389,689
-4.5,23207.0,397,688
-4.5,23238.0,373,688
-4.5,23269.0,347,689
-4.5,23302.0,308,688
-4.5,23502.0,315,687
-4.5,23533.0,316,687
-4.5,23564.0,276,687
-4.5,23595.0,290,687
-4.5,23627.0,300,687
-4.5,23861.0,331,686
-4.5,23894.0,378,686
-4.5,23924.0,346,685
-4.5,23955.0,328,685
-4.5,23986.0,347,685
-4.37,24174.0,371,683
-4.37,24205.0,371,684
-4.37,24236.0,372,684
-4.37,24268.0,372,684
-4.37,24299.0,380,684
-4.37,24504.0,372,683
-4.37,24535.0,383,682
-4.37,24565.0,395,683
-4.37,24598.0,376,682
-4.37,24629.0,327,682
-4.37,24842.0,347,682
-4.37,24872.0,317,681
-4.37,24903.0,340,681
-4.37,24936.0,320,681
-4.37,24967.0,314,681
-4.37,25188.0,362,679
-4.37,25219.0,364,679
-4.37,25249.0,360,678
-4.37,25280.0,378,677
-4.37,25311.0,380,677
-4.37,25511.0,369,676
-4.37,25542.0,308,675
-4.37,25575.0,388,675
-4.37,25606.0,373,674
-4.37,25636.0,354,674
-4.37,25839.0,375,674
-4.37,25870.0,385,674
-4.37,25899.0,391,673
-4.37,25929.0,392,673
-4.37,25960.0,393,673
-4.49,26167.0,369,672
-4.49,26200.0,379,672
-4.49,26230.0,376,671
-4.49,26261.0,383,672
-4.49,26292.0,390,672
-4.49,26509.0,384,671
-4.49,26540.0,378,671
-4.49,26570.0,386,672
-4.49,26599.0,385,671
-4.49,26630.0,379,672
-4.49,26839.0,377,671
-4.49,26867.0,376,671
-4.49,26898.0,386,672
-4.49,26927.0,378,671
-4.49,26957.0,385,672
-4.49,27181.0,375,671
-4.49,27209.0,368,671
-4.49,27240.0,388,671
-4.49,27269.0,376,671
-4.49,27299.0,393,671
-4.49,27506.0,393,671
-4.49,27537.0,363,670
-4.49,27566.0,0,671
-4.49,27594.0,400,671
-4.49,27625.0,388,671
-4.49,27840.0,353,670
-4.49,27871.0,374,670
-4.49,27901.0,361,670
-4.49,27930.0,345,670
-4.49,27961.0,347,670
-4.38,28176.0,296,670
-4.38,28207.0,330,670
-4.38,28237.0,313,669
-4.38,28266.0,316,670
-4.38,28297.0,299,669
-4.38,28508.0,356,670
-4.38,28536.0,296,669
-4.38,28567.0,349,670
-4.38,28596.0,349,669
-4.38,28626.0,325,669
-4.38,28850.0,284,669
-4.38,28878.0,309,668
-4.38,28909.0,287,668
-4.38,28938.0,286,668
-4.38,28968.0,316,668
-4.38,29173.0,333,667
-4.38,29204.0,312,667
-4.38,29235.0,331,668
-4.38,29263.0,337,667
-4.38,29294.0,346,667
-4.38,29540.0,354,667
-4.38,29569.0,352,666
-4.38,29599.0,335,666
-4.38,29628.0,209,666
-4.38,29659.0,310,666
-4.38,29880.0,376,665
-4.38,29911.0,317,665
-4.38,29939.0,368,665
-4.38,29970.0,370,665
-4.38,29999.0,377,665
-4.27,30220.0,369,665
-4.27,30248.0,347,665
-4.27,30279.0,357,665
-4.27,30308.0,353,665
-4.27,30339.0,348,665
-4.27,30550.0,276,664
-4.27,30578.0,294,664
-4.27,30609.0,266,664
-4.27,30638.0,249,665
-4.27,30668.0,211,664
-4.27,30879.0,237,664
-4.27,30910.0,243,664
-4.27,30941.0,254,664
-4.27,30969.0,250,664
-4.27,31000.0,257,664
-4.27,31205.0,305,664
-4.27,31236.0,280,664
-4.27,31264.0,322,664
-4.27,31295.0,338,664
-4.27,31541.0,298,663
-4.27,31571.0,335,664
-4.27,31602.0,307,664
-4.27,31631.0,332,663
-4.27,31875.0,333,663
-4.27,31905.0,331,663
-4.27,31936.0,326,664
-4.27,31965.0,341,664
-4.39,32217.0,328,664
-4.39,32247.0,333,664
-4.39,32280.0,351,664
-4.39,32313.0,350,664
-4.39,32544.0,356,663
-4.39,32575.0,306,664
-4.39,32606.0,341,663
-4.39,32636.0,355,664
-4.39,32886.0,336,664
-4.39,32917.0,356,664
-4.39,32948.0,346,664
-4.39,32980.0,331,664
-4.39,33214.0,353,664
-4.39,33245.0,320,664
-4.39,33275.0,359,663
-4.39,33306.0,351,664
-4.39,33552.0,341,664
-4.39,33583.0,365,664
-4.39,33615.0,346,664
-4.39,33644.0,366,663
-4.39,33677.0,332,664
-4.39,33888.0,343,664
-4.39,33918.0,365,663
-4.39,33949.0,344,664
-4.39,33982.0,323,664
-4.39,34013.0,344,664
-4.5,34211.0,345,664
-4.5,34240.0,340,664
-4.5,34271.0,357,664
-4.5,34301.0,336,664
-4.5,34330.0,372,663
-4.5,34547.0,362,664
-4.5,34578.0,365,663
-4.5,34609.0,343,663
-4.5,34639.0,357,663
-4.5,34883.0,341,663
-4.5,34914.0,347,663
-4.5,34947.0,358,663
-4.5,34977.0,338,663
-4.5,35213.0,348,661
-4.5,35244.0,351,661
-4.5,35274.0,337,660
-4.5,35305.0,339,659
-4.5,35336.0,343,660
-4.5,35553.0,345,659
-4.5,35586.0,345,658
-4.5,35614.0,344,659
-4.5,35645.0,365,659
-4.5,35674.0,344,659
-4.5,35880.0,345,659
-4.5,35909.0,334,659
-4.5,35940.0,349,658
-4.5,35971.0,345,658
-4.6,36210.0,330,658
-4.6,36241.0,362,658
-4.6,36272.0,304,658
-4.6,36304.0,333,658
-4.6,36550.0,350,655
-4.6,36581.0,351,655
-4.6,36612.0,330,655
-4.6,36642.0,339,654
-4.6,36878.0,268,654
-4.6,36909.0,295,653
-4.6,36939.0,348,653
-4.6,36972.0,337,654
-4.6,37220.0,246,653
-4.6,37251.0,260,653
-4.6,37281.0,298,654
-4.6,37314.0,197,653
-4.6,37537.0,298,653
-4.6,37570.0,299,653
