Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,555.0,0,790
0.0,579.0,0,790
0.0,602.0,0,791
0.0,626.0,0,790
0.0,651.0,0,790
0.0,675.0,0,790
0.0,700.0,0,790
0.0,727.0,0,791
0.0,749.0,0,790
0.0,776.0,0,790
0.0,800.0,0,790
0.0,825.0,0,790
0.0,847.0,0,790
0.0,872.0,0,791
0.0,897.0,0,790
0.0,923.0,0,790
0.0,948.0,0,790
0.0,972.0,0,790
0.0,997.0,0,790
0.0,1024.0,0,790
0.0,1048.0,0,790
0.0,1075.0,0,791
0.0,1101.0,0,790
0.0,1126.0,0,791
0.0,1329.0,0,791
0.0,1355.0,0,790
0.0,1380.0,0,790
0.0,1673.0,0,791
0.0,1697.0,0,790
0.0,1724.0,0,790
0.0,2021.0,0,791
0.0,2048.0,0,790
0.0,2072.0,0,790
-3.0,2379.0,0,790
-3.0,2404.0,0,790
-3.0,2430.0,0,790
-3.0,2746.0,0,790
-3.0,2775.0,0,790
-3.0,2801.0,0,790
-3.0,3092.0,0,790
-3.0,3119.0,0,790
-3.0,3145.0,0,791
-3.0,3450.0,0,790
-3.0,3479.0,0,790
-3.0,3508.0,0,791
-3.33,4106.0,0,790
-3.33,4134.0,0,790
-3.33,4161.0,0,790
-3.33,4450.0,0,791
-3.33,4476.0,0,790
-3.33,4503.0,0,790
-3.33,4777.0,200,784
-3.33,4806.0,225,783
-3.33,4835.0,236,783
-3.33,5120.0,450,772
-3.33,5148.0,453,770
-3.33,5177.0,457,771
-3.33,5468.0,461,767
-3.33,5496.0,477,768
-3.33,5527.0,474,768
-3.33,5779.0,448,768
-3.33,5810.0,446,768
-3.33,5840.0,401,768
-3.05,6119.0,390,768
-3.05,6150.0,361,768
-3.05,6178.0,352,769
-3.05,6449.0,344,771
-3.05,6479.0,350,772
-3.05,6508.0,320,772
-3.05,6780.0,350,774
-3.05,6809.0,329,774
-3.05,6840.0,350,774
-3.05,7124.0,366,776
-3.05,7155.0,373,776
-3.05,7184.0,352,776
-3.05,7526.0,356,780
-3.05,7563.0,362,780
-3.05,7593.0,346,780
-3.05,7870.0,355,784
-3.05,7921.0,337,784
-3.05,7952.0,359,785
-3.37,8194.0,295,788
-3.37,8251.0,293,787
-3.37,8278.0,294,787
-3.37,8536.0,312,788
-3.37,8566.0,343,788
-3.37,8597.0,371,789
-3.37,8822.0,300,789
-3.37,8851.0,338,789
-3.37,8882.0,337,789
-3.37,9150.0,325,790
-3.37,9179.0,335,791
-3.37,9209.0,349,790
-3.37,9488.0,350,793
-3.37,9517.0,355,794
-3.37,9547.0,358,794
-3.37,9818.0,308,796
-3.37,9846.0,353,797
-3.37,9877.0,340,796
-3.69,10158.0,348,797
-3.69,10188.0,350,797
-3.69,10219.0,351,797
-3.69,10485.0,330,797
-3.69,10516.0,346,796
-3.69,10545.0,367,797
-3.69,10813.0,340,797
-3.69,10842.0,345,797
-3.69,10872.0,372,797
-3.69,11155.0,377,797
-3.69,11186.0,395,797
-3.69,11214.0,397,797
-3.69,11485.0,376,797
-3.69,11515.0,352,798
-3.69,11546.0,374,797
-3.69,11823.0,401,798
-3.69,11853.0,406,797
-3.69,11882.0,411,797
-3.39,12154.0,386,797
-3.39,12185.0,400,797
-3.39,12216.0,389,797
-3.39,12244.0,380,797
-3.39,12503.0,388,797
-3.39,12533.0,413,797
-3.39,12564.0,428,797
-3.39,12597.0,416,797
-3.39,12836.0,435,798
-3.39,12869.0,439,797
-3.39,12900.0,425,797
-3.39,12931.0,432,797
-3.39,13172.0,417,798
-3.39,13203.0,435,797
-3.39,13236.0,433,798
-3.39,13266.0,425,796
-3.39,13500.0,432,797
-3.39,13529.0,402,797
-3.39,13561.0,395,797
-3.39,13592.0,428,797
-3.39,13824.0,442,798
-3.39,13854.0,434,797
-3.39,13883.0,432,798
-3.39,13914.0,438,798
-3.71,14157.0,458,797
-3.71,14188.0,459,797
-3.71,14217.0,454,798
-3.71,14247.0,457,797
-3.71,14497.0,451,798
-3.71,14528.0,454,797
-3.71,14559.0,435,797
-3.71,14589.0,424,798
-3.71,14839.0,468,797
-3.71,14870.0,449,798
-3.71,14901.0,465,797
-3.71,14931.0,463,797
-3.71,15202.0,447,798
-3.71,15233.0,438,797
-3.71,15263.0,451,797
-3.71,15294.0,445,798
-3.71,15556.0,433,797
-3.71,15587.0,424,797
-3.71,15616.0,437,798
-3.71,15646.0,438,797
-3.71,15898.0,454,797
-3.71,15929.0,420,798
-3.71,15960.0,426,797
-3.71,15988.0,441,798
-3.41,16279.0,373,798
-3.41,16312.0,354,799
-3.41,16343.0,387,799
-3.41,16373.0,436,799
-3.41,16633.0,369,800
-3.41,16664.0,378,800
-3.41,16697.0,424,799
-3.41,16728.0,425,800
-3.41,16959.0,427,801
-3.41,16990.0,431,801
-3.41,17020.0,430,800
-3.41,17053.0,427,801
-3.41,17305.0,407,801
-3.41,17336.0,408,800
-3.41,17367.0,419,801
-3.41,17397.0,429,801
-3.41,17668.0,409,801
-3.41,17696.0,414,801
-3.41,17727.0,413,801
-3.41,17762.0,426,801
-3.41,17999.0,380,801
-3.41,18034.0,397,801
-3.41,18067.0,398,801
-3.41,18098.0,379,801
-3.73,18380.0,404,802
-3.73,18409.0,396,803
-3.73,18440.0,379,803
-3.73,18470.0,376,803
-3.73,18692.0,407,805
-3.73,18720.0,412,805
-3.73,18751.0,412,805
-3.73,18782.0,408,805
-3.73,19034.0,422,806
-3.73,19064.0,417,807
-3.73,19095.0,401,807
-3.73,19126.0,383,807
-3.73,19378.0,404,806
-3.73,19408.0,395,807
-3.73,19439.0,395,807
-3.73,19468.0,407,807
-3.73,19705.0,405,807
-3.73,19734.0,380,807
-3.73,19765.0,378,807
-3.73,19795.0,382,807
-3.73,20047.0,412,807
-3.73,20078.0,411,807
-3.73,20109.0,392,808
-3.42,20137.0,404,808
-3.42,20365.0,402,809
-3.42,20393.0,397,809
-3.42,20422.0,399,809
-3.42,20453.0,411,809
-3.42,20701.0,383,811
-3.42,20729.0,390,812
-3.42,20760.0,362,812
-3.42,20791.0,379,813
-3.42,21026.0,367,815
-3.42,21057.0,378,817
-3.42,21088.0,383,817
-3.42,21116.0,382,817
-3.42,21405.0,406,819
-3.42,21436.0,425,820
-3.42,21465.0,423,820
-3.42,21495.0,402,820
-3.42,21731.0,436,820
-3.42,21762.0,411,820
-3.42,21790.0,387,820
-3.42,21821.0,343,821
-3.42,22077.0,407,820
-3.42,22106.0,379,820
-3.08,22136.0,276,821
-3.08,22165.0,352,821
-3.08,22435.0,374,822
-3.08,22466.0,352,823
-3.08,22497.0,363,823
-3.08,22528.0,360,823
-3.08,22808.0,333,825
-3.08,22839.0,349,824
-3.08,22872.0,350,824
-3.08,22902.0,364,825
-3.08,23152.0,279,825
-3.08,23183.0,286,825
-3.08,23214.0,303,825
-3.08,23244.0,323,825
