Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,552.0,0,761
0.0,577.0,0,761
0.0,604.0,0,762
0.0,628.0,0,762
0.0,655.0,0,762
0.0,679.0,0,761
0.0,704.0,0,762
0.0,731.0,0,761
0.0,755.0,0,761
0.0,780.0,0,761
0.0,804.0,0,761
0.0,829.0,0,761
0.0,854.0,0,761
0.0,878.0,0,761
0.0,901.0,0,761
0.0,925.0,0,761
0.0,950.0,0,761
0.0,974.0,0,761
0.0,999.0,0,761
0.0,1024.0,0,761
0.0,1052.0,0,761
0.0,1079.0,0,761
0.0,1103.0,0,761
0.0,1130.0,0,762
0.0,1157.0,0,761
0.0,1181.0,0,761
0.0,1206.0,0,761
0.0,1232.0,0,761
0.0,1257.0,0,761
0.0,1282.0,0,761
0.0,1308.0,0,761
0.0,1333.0,0,761
0.0,1359.0,0,761
0.0,1384.0,0,761
0.0,1411.0,0,762
0.0,1435.0,0,761
0.0,1462.0,0,761
0.0,1486.0,0,762
0.0,1513.0,0,761
0.0,1538.0,0,761
0.0,1564.0,0,761
0.0,1589.0,0,762
0.0,1615.0,0,761
0.0,1642.0,0,761
0.0,1667.0,0,761
0.0,1693.0,0,761
0.0,1718.0,0,762
0.0,1892.0,0,761
0.0,1916.0,0,761
0.0,1941.0,0,761
0.0,1968.0,0,761
0.0,1992.0,0,762
-3.0,2252.0,0,761
-3.0,2279.0,0,761
-3.0,2308.0,0,761
-3.0,2334.0,0,761
-3.0,2363.0,0,761
-3.0,2590.0,0,760
-3.0,2617.0,0,759
-3.0,2643.0,0,759
-3.0,2670.0,0,758
-3.0,2697.0,0,758
-3.0,2920.0,0,745
-3.0,2947.0,0,743
-3.0,2975.0,43,742
-3.0,3004.0,54,740
-3.0,3031.0,65,738
-3.0,3262.0,229,728
-3.0,3291.0,239,727
-3.0,3321.0,203,726
-3.0,3350.0,217,724
-3.0,3379.0,225,723
-3.0,3590.0,256,721
-3.0,3618.0,272,721
-3.0,3647.0,284,721
-3.0,3676.0,280,720
-3.0,3704.0,223,721
-3.0,3917.0,346,720
-3.0,3946.0,309,720
-3.0,3975.0,309,720
-3.0,4003.0,330,719
-3.0,4034.0,330,720
-3.0,4255.0,347,720
-3.0,4284.0,326,720
-3.0,4315.0,315,720
-3.0,4345.0,339,720
-3.0,4376.0,343,720
-3.0,4589.0,323,720
-3.0,4618.0,303,720
-3.0,4648.0,314,720
-3.0,4677.0,321,720
-3.0,4708.0,309,720
-3.0,4917.0,314,721
-3.0,4947.0,313,721
-3.0,4976.0,306,722
-3.0,5007.0,307,723
-3.0,5038.0,311,723
-3.0,5255.0,313,727
-3.0,5285.0,320,726
-3.0,5314.0,320,727
-3.0,5343.0,320,727
-3.0,5371.0,317,727
-3.34,6541.0,343,737
-3.34,6569.0,341,737
-3.34,6598.0,345,738
-3.34,6627.0,349,739
-3.34,6656.0,339,740
-3.34,6860.0,348,742
-3.34,6889.0,348,742
-3.34,6918.0,299,742
-3.34,6948.0,341,743
-3.34,6977.0,351,742
-3.34,7190.0,357,744
-3.34,7221.0,355,745
-3.34,7251.0,359,745
-3.34,7280.0,356,747
-3.34,7311.0,359,746
-3.34,7516.0,352,749
-3.34,7544.0,348,750
-3.34,7575.0,349,750
-3.34,7604.0,353,751
-3.34,7632.0,353,750
-3.34,7858.0,0,752
-3.34,7886.0,315,752
-3.34,7915.0,336,753
-3.34,7944.0,339,753
-3.34,7970.0,0,753
-3.66,8185.0,296,756
-3.66,8210.0,0,755
-3.66,8239.0,0,756
-3.66,8265.0,0,756
-3.66,8292.0,0,757
-3.66,8525.0,0,760
-3.66,8552.0,0,759
-3.66,8579.0,0,759
-3.66,8607.0,0,759
-3.66,8634.0,0,760
-3.66,8855.0,0,760
-3.66,8882.0,0,761
-3.66,8910.0,0,760
-3.66,8937.0,0,761
-3.66,8964.0,0,760
-3.66,9197.0,0,760
-3.66,9224.0,0,761
-3.66,9250.0,0,760
-3.66,9279.0,0,760
-3.66,9523.0,0,760
-3.66,9551.0,0,760
-3.66,9576.0,0,761
-3.66,9605.0,0,760
-3.66,9850.0,0,760
-3.66,9885.0,0,760
-3.66,9912.0,0,761
-3.66,9938.0,0,760
-3.66,9967.0,0,760
-3.96,10194.0,0,761
-3.96,10221.0,0,760
-3.96,10250.0,0,760
-3.96,10276.0,0,760
-3.96,10305.0,0,760
-3.96,10526.0,0,761
-3.96,10553.0,0,760
-3.96,10584.0,0,760
-3.96,10612.0,0,761
-3.96,10641.0,0,760
-3.96,10866.0,0,761
-3.96,10895.0,0,761
-3.96,10921.0,0,760
-3.96,10948.0,0,760
-3.96,11190.0,0,760
-3.96,11216.0,0,760
-3.96,11245.0,0,761
-3.96,11274.0,0,760
-3.96,11536.0,434,759
-3.96,11567.0,454,759
-3.96,11597.0,447,759
-3.96,11628.0,417,759
-3.96,11859.0,451,757
-3.96,11890.0,448,756
-3.96,11919.0,368,756
-3.96,11950.0,410,756
-3.96,11980.0,460,756
-3.96,12189.0,447,754
-3.96,12218.0,468,754
-3.96,12249.0,456,753
-3.96,12279.0,454,753
-3.96,12308.0,468,753
-3.96,12517.0,372,751
-3.96,12546.0,438,751
-3.96,12576.0,446,751
-3.96,12605.0,441,751
-3.96,12634.0,376,751
-3.96,12861.0,456,750
-3.96,12892.0,436,749
-3.96,12922.0,454,749
-3.96,12953.0,459,749
-3.96,13189.0,431,746
-3.96,13217.0,434,745
-3.96,13248.0,454,746
-3.96,13279.0,440,745
-3.96,13309.0,430,744
-3.96,13533.0,449,741
-3.96,13561.0,454,741
-3.96,13592.0,449,739
-3.96,13621.0,419,739
-3.96,13651.0,433,739
-3.96,13862.0,412,737
-3.96,13891.0,414,737
-3.96,13922.0,418,737
-3.96,13953.0,416,736
-3.96,13981.0,444,737
-4.18,14200.0,437,733
-4.18,14231.0,389,733
-4.18,14262.0,429,732
-4.18,14290.0,401,731
-4.18,14321.0,281,731
-4.18,14528.0,404,727
-4.18,14559.0,416,728
-4.18,14589.0,394,727
-4.18,14618.0,413,726
-4.18,14649.0,385,727
-4.18,14678.0,390,726
-4.18,14864.0,445,724
-4.18,14895.0,351,723
-4.18,14923.0,385,723
-4.18,14954.0,399,723
-4.18,14985.0,413,722
-4.18,15015.0,390,722
-4.18,15198.0,410,719
-4.18,15226.0,415,720
-4.18,15257.0,414,720
-4.18,15286.0,390,719
-4.18,15316.0,406,718
-4.18,15525.0,390,717
-4.18,15554.0,393,716
-4.18,15585.0,340,716
-4.18,15613.0,369,716
-4.18,15644.0,385,715
-4.18,15675.0,369,715
-4.18,15867.0,296,714
-4.18,15898.0,299,714
-4.18,15927.0,333,715
-4.18,15955.0,367,714
-4.18,15986.0,345,714
-4.34,16195.0,365,714
-4.34,16228.0,308,714
-4.34,16257.0,332,713
-4.34,16287.0,338,714
-4.34,16318.0,352,713
-4.34,16347.0,369,713
-4.34,16525.0,312,712
-4.34,16556.0,285,711
-4.34,16584.0,265,710
-4.34,16615.0,290,710
-4.34,16646.0,315,711
-4.34,16674.0,337,710
-4.34,16867.0,326,709
-4.34,16896.0,309,708
-4.34,16924.0,358,708
-4.34,16955.0,296,708
-4.34,16984.0,307,708
-4.34,17014.0,296,707
-4.34,17195.0,332,707
-4.34,17223.0,345,707
-4.34,17254.0,309,707
-4.34,17283.0,341,706
-4.34,17313.0,334,707
-4.34,17344.0,339,707
-4.34,17537.0,370,706
-4.34,17565.0,346,705
-4.34,17596.0,313,704
-4.34,17625.0,268,704
-4.34,17655.0,307,704
-4.34,17686.0,309,704
-4.34,17895.0,361,702
-4.34,17924.0,342,702
-4.34,17954.0,369,702
-4.34,17983.0,373,701
-4.34,18014.0,375,701
-4.34,18042.0,398,701
-4.34,18237.0,386,701
-4.34,18268.0,391,701
-4.34,18298.0,393,701
-4.34,18327.0,395,701
-4.34,18358.0,381,700
-4.34,18388.0,363,701
-4.34,18563.0,342,700
-4.34,18593.0,380,700
-4.34,18624.0,381,701
-4.34,18653.0,356,700
-4.34,18683.0,363,701
-4.34,18898.0,383,701
-4.34,18929.0,400,701
-4.34,18958.0,398,701
-4.34,18987.0,385,700
-4.34,19017.0,381,700
-4.34,19048.0,392,701
