Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,555.0,0,660
0.0,579.0,0,661
0.0,606.0,0,661
0.0,630.0,0,660
0.0,657.0,0,661
0.0,684.0,0,660
0.0,706.0,0,660
0.0,733.0,0,660
0.0,757.0,0,660
0.0,782.0,0,660
0.0,806.0,1,661
0.0,831.0,0,661
0.0,858.0,0,661
0.0,882.0,0,660
0.0,907.0,0,661
0.0,929.0,0,661
0.0,954.0,0,660
0.0,978.0,0,661
0.0,1003.0,0,661
0.0,1030.0,0,661
0.0,1054.0,0,660
0.0,1081.0,0,661
0.0,1105.0,0,661
0.0,1132.0,0,661
0.0,1157.0,1,661
0.0,1183.0,0,661
0.0,1208.0,0,661
0.0,1234.0,0,661
0.0,1259.0,0,661
0.0,1286.0,0,660
0.0,1310.0,0,660
0.0,1337.0,0,661
0.0,1361.0,0,660
0.0,1388.0,0,660
0.0,1415.0,0,661
0.0,1439.0,0,660
0.0,1464.0,0,660
0.0,1490.0,0,660
0.0,1515.0,0,660
0.0,1542.0,0,661
0.0,1566.0,0,660
0.0,1593.0,0,660
0.0,1617.0,0,661
0.0,1644.0,0,660
0.0,1671.0,0,660
0.0,1695.0,0,660
0.0,1722.0,0,660
0.0,1746.0,0,660
0.0,1773.0,0,660
0.0,1798.0,0,660
0.0,1824.0,0,660
0.0,1849.0,0,660
0.0,1875.0,0,660
0.0,1902.0,0,660
0.0,1929.0,0,660
0.0,1955.0,0,660
0.0,1984.0,0,660
0.0,2011.0,0,660
0.0,2035.0,0,660
0.0,2062.0,0,661
0.0,2086.0,0,660
-3.0,2113.0,0,660
-3.0,2140.0,0,660
-3.0,2166.0,0,660
-3.0,2338.0,0,660
-3.0,2365.0,0,660
-3.0,2394.0,0,660
-3.0,2422.0,0,660
-3.0,2449.0,0,660
-3.0,2666.0,0,660
-3.0,2695.0,0,660
-3.0,2723.0,0,660
-3.0,2750.0,0,660
-3.0,2777.0,0,660
-3.0,3008.0,0,660
-3.0,3037.0,0,660
-3.0,3063.0,0,660
-3.0,3092.0,0,660
-3.0,3121.0,0,660
-3.0,3336.0,1,660
-3.0,3364.0,0,660
-3.0,3391.0,0,660
-3.0,3418.0,0,660
-3.0,3446.0,0,660
-3.0,3680.0,0,660
-3.0,3704.0,0,660
-3.0,3733.0,0,660
-3.0,3762.0,0,660
-3.0,3788.0,0,660
-3.0,4005.0,0,659
-3.0,4032.0,0,660
-3.0,4059.0,0,659
-3.0,4085.0,0,659
