Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,555.0,0,729
0.0,579.0,1,730
0.0,606.0,0,729
0.0,630.0,0,730
0.0,657.0,0,729
0.0,684.0,0,729
0.0,708.0,0,729
0.0,735.0,0,729
0.0,765.0,0,730
0.0,792.0,0,729
0.0,817.0,0,729
0.0,843.0,0,729
0.0,868.0,0,729
0.0,894.0,0,729
0.0,919.0,0,729
0.0,946.0,0,729
0.0,970.0,0,729
0.0,997.0,0,729
0.0,1021.0,0,729
0.0,1048.0,0,729
0.0,1075.0,0,729
0.0,1101.0,0,729
0.0,1128.0,0,729
0.0,1155.0,0,729
0.0,1181.0,0,729
0.0,1208.0,0,729
0.0,1236.0,1,730
0.0,1263.0,0,729
0.0,1290.0,0,729
0.0,1314.0,0,729
0.0,1341.0,0,729
0.0,1366.0,0,729
0.0,1392.0,0,729
0.0,1417.0,0,729
0.0,1443.0,0,729
0.0,1468.0,0,729
0.0,1495.0,0,729
0.0,1579.0,0,729
0.0,1605.0,0,729
0.0,1632.0,0,728
0.0,1656.0,0,729
0.0,1908.0,0,729
0.0,1933.0,0,729
0.0,1959.0,0,729
0.0,1984.0,0,729
-3.0,2252.0,0,729
-3.0,2279.0,0,729
-3.0,2306.0,0,729
-3.0,2332.0,0,729
-3.0,2578.0,0,729
-3.0,2609.0,0,729
-3.0,2635.0,0,729
-3.0,2664.0,11,729
-3.0,2922.0,1,729
-3.0,2951.0,27,729
-3.0,2977.0,0,729
-3.0,3006.0,53,729
-3.0,3280.0,85,729
-3.0,3309.0,0,729
-3.0,3336.0,62,729
-3.0,3364.0,61,730
-3.0,3624.0,0,730
-3.0,3651.0,82,729
-3.0,3680.0,0,729
-3.0,3706.0,0,729
-3.0,3735.0,83,729
-3.0,3985.0,0,729
-3.0,4012.0,0,730
-3.0,4040.0,0,729
-3.0,4069.0,0,730
-3.0,4096.0,0,729
-3.27,4311.0,78,730
-3.27,4337.0,83,729
-3.27,4368.0,127,729
-3.27,4397.0,135,729
-3.27,4425.0,133,729
-3.27,4657.0,150,729
-3.27,4685.0,147,729
-3.27,4714.0,125,730
-3.27,4743.0,143,731
-3.27,4771.0,138,731
-3.27,5019.0,196,734
-3.27,5048.0,181,735
-3.27,5083.0,189,735
-3.27,5111.0,188,736
-3.27,5357.0,198,738
-3.27,5388.0,217,738
-3.27,5416.0,192,738
-3.27,5445.0,207,739
-3.27,5474.0,183,740
-3.27,5683.0,159,742
-3.27,5711.0,166,742
-3.27,5740.0,170,742
-3.27,5769.0,192,743
-3.27,6019.0,219,743
-3.27,6047.0,202,743
-3.27,6076.0,220,744
-3.27,6105.0,223,743
-3.0,6352.0,105,744
-3.0,6381.0,111,744
-3.0,6412.0,161,744
-3.0,6440.0,145,745
-3.0,6690.0,160,745
-3.0,6719.0,179,745
-3.0,6748.0,171,745
-3.0,6776.0,85,745
-3.0,6805.0,157,745
-3.0,7014.0,93,745
-3.0,7041.0,30,745
-3.0,7069.0,112,746
-3.0,7098.0,199,746
-3.0,7124.0,65,745
-3.0,7366.0,171,746
-3.0,7395.0,136,746
-3.0,7426.0,168,746
-3.0,7452.0,89,746
-3.0,7483.0,125,746
-3.0,7718.0,103,746
-3.0,7745.0,82,747
-3.0,7776.0,159,746
-3.0,7804.0,181,746
-3.0,7833.0,169,746
-3.0,8054.0,176,747
-3.0,8083.0,178,747
-3.0,8112.0,172,747
-3.0,8140.0,136,747
-3.0,8376.0,177,748
-3.0,8407.0,173,748
-3.0,8435.0,168,748
-3.0,8464.0,177,749
-3.0,8493.0,167,748
-3.0,8718.0,97,750
-3.0,8747.0,90,750
-3.0,8773.0,101,751
-3.0,8804.0,151,751
-3.0,8830.0,160,751
-3.0,9050.0,154,751
-3.0,9080.0,89,752
-3.0,9109.0,161,751
-3.0,9140.0,167,751
-3.0,9390.0,0,752
-3.0,9418.0,141,752
-3.0,9449.0,207,752
-3.0,9478.0,161,753
-3.0,9723.0,102,753
-3.0,9752.0,98,753
-3.0,9781.0,169,753
-3.0,9811.0,173,753
-3.0,10059.0,177,753
-3.0,10090.0,183,754
-3.0,10121.0,176,754
-3.0,10151.0,174,754
-3.0,10184.0,102,753
-3.0,10393.0,174,754
-3.0,10426.0,238,753
-3.0,10457.0,169,754
-3.0,10487.0,224,754
-3.0,10721.0,189,754
-3.0,10749.0,202,754
-3.0,10780.0,165,753
-3.0,10811.0,169,754
-3.0,10842.0,112,754
-3.0,11063.0,129,754
-3.0,11091.0,138,753
-3.0,11122.0,186,753
-3.0,11151.0,238,754
-3.0,11182.0,210,754
-3.0,11425.0,139,754
-3.0,11456.0,134,753
-3.0,11485.0,148,753
-3.0,11515.0,84,754
-3.0,11544.0,67,754
-3.0,11573.0,85,754
-3.0,11763.0,70,754
-3.0,11794.0,31,754
-3.0,11823.0,87,754
-3.0,11851.0,89,754
-3.0,11882.0,82,754
-3.0,11909.0,71,754
-3.29,12124.0,30,753
-3.29,12152.0,79,754
-3.29,12181.0,91,754
-3.29,12210.0,87,753
-3.29,12238.0,108,754
-3.29,12267.0,67,754
-3.29,12484.0,106,754
-3.29,12515.0,103,754
-3.29,12544.0,104,754
-3.29,12574.0,106,754
-3.29,12603.0,89,754
-3.29,12840.0,188,754
-3.29,12869.0,226,754
-3.29,12898.0,226,754
-3.29,12929.0,249,754
-3.29,12957.0,208,753
-3.29,13195.0,194,754
-3.29,13225.0,164,754
-3.29,13256.0,212,755
-3.29,13287.0,189,754
-3.29,13316.0,94,754
-3.29,13344.0,84,754
-3.29,13557.0,203,754
-3.29,13588.0,131,755
-3.29,13619.0,210,754
-3.29,13647.0,209,754
-3.29,13678.0,214,754
-3.29,13709.0,224,754
-3.29,13905.0,197,754
-3.29,13934.0,88,754
-3.29,13965.0,104,754
-3.29,13993.0,198,754
-3.29,14022.0,116,754
-3.29,14051.0,83,754
-3.56,14260.0,264,755
-3.56,14290.0,257,754
-3.56,14319.0,217,754
-3.56,14350.0,220,754
-3.56,14381.0,253,754
-3.56,14409.0,241,754
-3.56,14604.0,227,754
-3.56,14635.0,243,754
-3.56,14665.0,230,754
-3.56,14694.0,260,754
-3.56,14725.0,232,754
-3.56,14964.0,123,754
-3.56,14995.0,152,754
-3.56,15024.0,147,754
-3.56,15054.0,133,754
-3.56,15083.0,150,754
-3.56,15114.0,171,754
-3.56,15306.0,224,754
-3.56,15337.0,222,755
-3.56,15366.0,227,754
-3.56,15396.0,240,753
-3.56,15427.0,248,754
-3.56,15456.0,225,754
-3.56,15665.0,252,753
-3.56,15695.0,262,754
-3.56,15726.0,253,754
-3.56,15755.0,268,754
-3.56,15785.0,220,754
-3.56,16007.0,147,755
-3.56,16035.0,154,755
-3.56,16066.0,146,755
-3.56,16095.0,162,754
-3.31,16125.0,174,754
-3.31,16363.0,143,754
-3.31,16394.0,135,754
-3.31,16424.0,143,754
-3.31,16455.0,98,754
-3.31,16484.0,59,754
-3.31,16705.0,66,754
-3.31,16736.0,131,754
-3.31,16764.0,97,754
-3.31,16793.0,80,753
-3.31,16824.0,130,754
-3.31,17068.0,144,754
-3.31,17096.0,143,754
-3.31,17127.0,146,754
-3.31,17158.0,151,754
-3.31,17186.0,137,754
-3.31,17426.0,145,754
-3.31,17457.0,140,754
-3.31,17485.0,97,754
-3.31,17518.0,103,754
-3.31,17549.0,141,754
-3.31,17577.0,93,754
-3.31,17768.0,80,754
-3.31,17799.0,135,753
-3.31,17827.0,0,754
-3.31,17856.0,0,754
-3.31,17885.0,0,754
-3.31,17911.0,0,754
