Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
-8.0,552.0,0,807
0.0,579.0,0,806
0.0,606.0,0,807
0.0,630.0,0,806
0.0,659.0,0,807
0.0,686.0,0,806
0.0,710.0,0,806
0.0,737.0,0,807
0.0,761.0,0,807
0.0,786.0,0,807
0.0,811.0,0,807
0.0,835.0,0,807
0.0,860.0,0,806
0.0,882.0,0,807
0.0,907.0,0,807
0.0,931.0,0,807
0.0,956.0,0,806
0.0,980.0,0,806
0.0,1005.0,0,806
0.0,1030.0,0,806
0.0,1056.0,0,807
0.0,1081.0,0,807
0.0,1107.0,0,807
0.0,1132.0,0,807
0.0,1159.0,0,807
0.0,1183.0,0,807
0.0,1210.0,0,806
0.0,1236.0,0,807
0.0,1261.0,0,806
0.0,1288.0,0,806
0.0,1312.0,0,806
0.0,1339.0,0,806
0.0,1363.0,0,806
0.0,1390.0,0,807
0.0,1415.0,0,806
0.0,1441.0,0,806
0.0,1466.0,0,807
0.0,1492.0,0,807
0.0,1517.0,0,806
0.0,1542.0,0,807
0.0,1568.0,0,806
0.0,1593.0,0,806
0.0,1622.0,0,807
0.0,1648.0,0,807
0.0,1675.0,0,807
0.0,1701.0,0,807
0.0,1730.0,0,806
0.0,1757.0,0,806
0.0,1785.0,0,807
0.0,1814.0,0,807
0.0,1841.0,0,806
0.0,1865.0,0,806
0.0,1892.0,0,807
0.0,1916.0,0,806
0.0,1943.0,0,806
0.0,1968.0,0,806
0.0,1994.0,0,806
0.0,2021.0,0,806
0.0,2045.0,0,807
-8.0,2072.0,0,807
-8.0,2099.0,0,807
-8.0,2127.0,0,806
-8.0,2154.0,0,807
-8.0,2324.0,0,806
-8.0,2351.0,0,806
-8.0,2377.0,0,806
-8.0,2404.0,0,807
-8.0,2430.0,0,807
-8.0,2637.0,0,810
-8.0,2664.0,0,810
-8.0,2691.0,0,810
-8.0,2719.0,0,811
-8.0,2746.0,0,811
-8.0,2772.0,0,811
-8.0,3002.0,0,812
-8.0,3031.0,0,812
-8.0,3057.0,0,811
-8.0,3086.0,0,812
-8.0,3112.0,0,812
-8.0,3336.0,0,812
-8.0,3364.0,0,811
-8.0,3391.0,0,812
-8.0,3420.0,0,812
-8.0,3446.0,0,811
-8.0,3663.0,0,813
-8.0,3690.0,0,811
-8.0,3717.0,0,812
0.0,3743.0,0,812
0.0,3770.0,0,812
0.0,3794.0,0,813
0.0,4005.0,0,812
0.0,4032.0,0,813
0.0,4057.0,0,812
0.0,4083.0,0,812
0.0,4108.0,0,812
0.0,4335.0,0,813
0.0,4362.0,0,813
0.0,4388.0,0,812
0.0,4415.0,0,812
0.0,4442.0,0,813
0.0,4667.0,0,812
0.0,4691.0,0,812
0.0,4718.0,0,812
0.0,4743.0,0,812
0.0,4769.0,0,813
0.0,4794.0,0,812
0.0,5001.0,0,813
0.0,5027.0,0,813
0.0,5052.0,0,812
0.0,5079.0,0,812
0.0,5105.0,0,813
0.0,5130.0,0,812
-8.0,5339.0,0,812
-8.0,5365.0,0,812
-8.0,5392.0,0,811
-8.0,5419.0,0,811
-8.0,5445.0,0,810
-8.0,5474.0,0,808
-8.0,5662.0,0,799
-8.0,5689.0,0,797
-8.0,5715.0,0,795
-8.0,5744.0,0,796
-8.0,5771.0,0,795
-8.0,5797.0,0,793
-8.0,6004.0,0,786
-8.0,6031.0,0,786
-8.0,6057.0,0,785
-8.0,6084.0,0,784
-8.0,6111.0,0,783
-8.0,6137.0,0,783
-8.0,6348.0,0,776
-8.0,6375.0,0,774
-8.0,6404.0,0,774
-8.0,6430.0,0,773
-8.0,6457.0,0,773
-8.0,6483.0,0,773
-8.0,6510.0,0,772
-8.0,6713.0,0,773
-8.0,6739.0,0,774
-8.0,6766.0,0,775
-8.0,6793.0,0,776
0.0,6819.0,0,777
0.0,6846.0,0,778
0.0,6871.0,0,779
0.0,6895.0,0,779
0.0,7086.0,0,788
0.0,7112.0,0,789
0.0,7139.0,0,790
0.0,7163.0,0,790
0.0,7190.0,0,792
0.0,7215.0,0,793
0.0,7241.0,0,793
0.0,7485.0,0,800
0.0,7512.0,0,801
0.0,7536.0,0,801
0.0,7563.0,0,801
0.0,7587.0,0,802
0.0,7614.0,0,803
0.0,7845.0,0,805
0.0,7870.0,0,805
0.0,7897.0,0,806
0.0,7921.0,0,806
0.0,7948.0,0,805
0.0,7972.0,0,805
0.0,8175.0,0,805
0.0,8202.0,0,806
0.0,8226.0,0,806
0.0,8253.0,0,806
0.0,8280.0,0,806
-8.0,8517.0,0,805
-8.0,8546.0,0,806
-8.0,8574.0,0,806
-8.0,8601.0,0,809
-8.0,8628.0,0,813
-8.0,8654.0,0,817
-8.0,8857.0,0,839
-8.0,8884.0,0,841
-8.0,8910.0,0,841
-8.0,8937.0,0,842
-8.0,8966.0,0,842
-8.0,9185.0,0,839
-8.0,9211.0,0,838
-8.0,9238.0,0,837
-8.0,9265.0,0,837
-8.0,9293.0,0,835
-8.0,9510.0,0,825
-8.0,9537.0,0,823
-8.0,9564.0,0,821
-8.0,9590.0,0,820
-8.0,9617.0,0,818
-8.0,9644.0,0,817
-8.0,9840.0,0,808
-8.0,9869.0,0,807
-8.0,9895.0,0,806
-8.0,9922.0,0,805
-8.0,9949.0,0,804
-8.0,9975.0,0,803
-8.0,10184.0,0,801
-8.0,10213.0,0,800
-8.0,10242.0,0,800
-8.0,10268.0,0,800
-8.0,10297.0,0,801
-8.0,10326.0,0,800
-8.0,10563.0,0,806
-8.0,10594.0,0,807
-8.0,10622.0,0,807
0.0,10651.0,0,809
0.0,10678.0,0,811
0.0,10704.0,0,813
0.0,10731.0,0,814
0.0,10917.0,0,823
0.0,10944.0,0,824
0.0,10971.0,0,826
0.0,10997.0,0,826
0.0,11026.0,0,827
0.0,11053.0,0,828
0.0,11259.0,0,832
0.0,11288.0,0,832
0.0,11315.0,0,833
0.0,11341.0,0,833
0.0,11368.0,0,834
0.0,11397.0,0,834
0.0,11620.0,0,836
0.0,11646.0,0,836
0.0,11675.0,0,836
0.0,11702.0,0,836
0.0,11728.0,0,836
0.0,11755.0,0,837
0.0,11784.0,0,837
-8.0,12290.0,0,841
-8.0,12316.0,0,842
-8.0,12345.0,0,841
-8.0,12374.0,0,841
-8.0,12400.0,0,842
-8.0,12431.0,0,842
0.0,12619.0,0,843
0.0,12644.0,0,843
0.0,12673.0,0,842
0.0,12699.0,0,842
0.0,12726.0,0,842
0.0,12752.0,0,842
0.0,12949.0,0,843
0.0,12978.0,0,842
0.0,13004.0,0,843
0.0,13031.0,0,843
0.0,13058.0,0,843
0.0,13084.0,0,843
0.0,13289.0,0,842
0.0,13318.0,0,843
0.0,13344.0,0,843
0.0,13371.0,0,842
0.0,13398.0,0,842
0.0,13426.0,0,842
0.0,13621.0,0,843
0.0,13649.0,0,843
0.0,13676.0,0,843
0.0,13705.0,0,843
0.0,13731.0,0,843
0.0,13758.0,0,843
0.0,13959.0,0,843
0.0,13985.0,0,843
